",0"
"0,1000055"
"1,1000331"
"2,1000334"
"3,1000337"
"4,1000340"
"5,1000350"
"6,1000438"
"7,1000443"
"8,1001575"
"9,1001579"
"10,1001581"
"11,1001583"
"12,1001587"
"13,1001589"
"14,1001591"
"15,1001593"
"16,1002238"
"17,1002291"
"18,1002306"
"19,1002438"
"20,1002443"
"21,1002454"
"22,1002678"
"23,1002811"
"24,1002833"
"25,1002839"
"26,1002842"
"27,1002850"
"28,1002854"
"29,1002901"
"30,1002903"
"31,1002915"
"32,1002918"
"33,1002921"
"34,1002959"
"35,1002967"
"36,1002969"
"37,1003004"
"38,1003011"
"39,1003016"
"40,1003050"
"41,1003053"
"42,1003103"
"43,1003133"
"44,1003222"
"45,1003231"
"46,1003681"
"47,1003777"
"48,1003796"
"49,1004803"
"50,1004964"
"51,1004968"
"52,1004972"
"53,1005004"
"54,1005066"
"55,1005109"
"56,1005175"
"57,1005177"
"58,1005180"
"59,1005186"
"60,1005218"
"61,1005221"
"62,1005272"
"63,1005274"
"64,1005305"
"65,1005317"
"66,1005333"
"67,1005349"
"68,1005387"
"69,1005471"
"70,1005496"
"71,1005511"
"72,1005514"
"73,1005517"
"74,1005541"
"75,1005551"
"76,1005554"
"77,1005557"
"78,1006658"
"79,1007234"
"80,1007638"
"81,1007647"
"82,1007678"
"83,1007680"
"84,1007682"
"85,1007686"
"86,1007696"
"87,1007698"
"88,1007700"
"89,1007702"
"90,1007704"
"91,1007706"
"92,1007708"
"93,1007710"
"94,1007718"
"95,1007722"
"96,1007726"
"97,1007737"
"98,1007748"
"99,1007752"
"100,1007767"
"101,1007771"
"102,1007773"
"103,1007775"
"104,1007777"
"105,1007779"
"106,1007811"
"107,1007826"
"108,1007841"
"109,1007860"
"110,1007977"
"111,1008022"
"112,1008024"
"113,1008115"
"114,1008425"
"115,1008451"
"116,1008505"
"117,1008528"
"118,1008569"
"119,1008628"
"120,10090"
"121,1009281"
"122,1009287"
"123,1009289"
"124,1009292"
"125,1009294"
"126,1009491"
"127,1009625"
"128,1009645"
"129,1009726"
"130,1010037"
"131,1010038"
"132,1010040"
"133,1010043"
"134,1010047"
"135,1010169"
"136,1010173"
"137,1010180"
"138,1010201"
"139,1010243"
"140,1010247"
"141,1010273"
"142,1010274"
"143,1010275"
"144,1010276"
"145,1010277"
"146,1010292"
"147,1010389"
"148,1010391"
"149,1010453"
"150,1010456"
"151,1010458"
"152,1010459"
"153,1010460"
"154,1010462"
"155,1010463"
"156,1010464"
"157,1010465"
"158,1010466"
"159,1010467"
"160,1010468"
"161,1010469"
"162,1010473"
"163,1010474"
"164,1010567"
"165,1010568"
"166,1010584"
"167,1010587"
"168,1010588"
"169,1010589"
"170,1011435"
"171,1011525"
"172,1012236"
"173,1012453"
"174,1012584"
"175,1012644"
"176,1012660"
"177,1012743"
"178,1012913"
"179,1012974"
"180,1012980"
"181,1012987"
"182,1012989"
"183,1013085"
"184,1013087"
"185,1013099"
"186,1013173"
"187,1013176"
"188,1013246"
"189,1013278"
"190,1013350"
"191,1013362"
"192,1013413"
"193,1013433"
"194,1013494"
"195,1013496"
"196,1013500"
"197,1013502"
"198,1013504"
"199,1013508"
"200,1013510"
"201,1013545"
"202,1013989"
"203,1014009"
"204,1014097"
"205,1014104"
"206,1014141"
"207,1014157"
"208,1014168"
"209,1014283"
"210,1014313"
"211,1014345"
"212,1014359"
"213,1014361"
"214,1014399"
"215,1014400"
"216,1014401"
"217,1014405"
"218,1014407"
"219,1014408"
"220,1014427"
"221,1014429"
"222,1014431"
"223,1014435"
"224,1014437"
"225,1014445"
"226,1014447"
"227,1014451"
"228,1014453"
"229,1014455"
"230,1014457"
"231,1014461"
"232,1014484"
"233,1014532"
"234,1014557"
"235,1014699"
"236,1014717"
"237,1014734"
"238,1014742"
"239,1014751"
"240,1014785"
"241,1014787"
"242,1014802"
"243,1014818"
"244,1014821"
"245,1014827"
"246,1014868"
"247,1014872"
"248,1014874"
"249,1014876"
"250,1014891"
"251,1014937"
"252,1015127"
"253,1015275"
"254,1015295"
"255,1015315"
"256,1015335"
"257,1015380"
"258,1015580"
"259,1015597"
"260,1015671"
"261,1015789"
"262,1015797"
"263,1015825"
"264,1015921"
"265,1015936"
"266,1015966"
"267,1016060"
"268,1016066"
"269,1016315"
"270,1016316"
"271,1016552"
"272,1016563"
"273,1016571"
"274,1016576"
"275,1016577"
"276,1016580"
"277,1016610"
"278,1016621"
"279,1016642"
"280,1016801"
"281,1016803"
"282,1016807"
"283,1016810"
"284,1016812"
"285,1016814"
"286,1016816"
"287,1016818"
"288,1016974"
"289,1017134"
"290,1017148"
"291,1017187"
"292,1017253"
"293,1017416"
"294,1017418"
"295,1017420"
"296,1017421"
"297,1017459"
"298,1017460"
"299,1017497"
"300,1017502"
"301,1017503"
"302,1017535"
"303,1017582"
"304,1017588"
"305,1017591"
"306,1017648"
"307,1017721"
"308,1017733"
"309,1017736"
"310,1017777"
"311,1017779"
"312,1017817"
"313,1017822"
"314,1017864"
"315,1017868"
"316,1017871"
"317,1017873"
"318,1017875"
"319,1017878"
"320,1017880"
"321,1017882"
"322,1017884"
"323,1017885"
"324,1017932"
"325,1018015"
"326,1018016"
"327,1018022"
"328,1018026"
"329,1018030"
"330,1018094"
"331,1018096"
"332,1018169"
"333,1018170"
"334,1018212"
"335,1018267"
"336,1018273"
"337,1018279"
"338,1018285"
"339,1018326"
"340,1018429"
"341,1018509"
"342,1018547"
"343,1018652"
"344,1018685"
"345,1018740"
"346,1018842"
"347,1018848"
"348,1018904"
"349,1018908"
"350,1019009"
"351,1019020"
"352,1019061"
"353,1019199"
"354,1019200"
"355,1019203"
"356,1019228"
"357,1019230"
"358,1019232"
"359,1019234"
"360,1019236"
"361,1019238"
"362,1019240"
"363,1019242"
"364,1019244"
"365,1019250"
"366,1019263"
"367,1019267"
"368,1019269"
"369,1019271"
"370,1019273"
"371,1019286"
"372,1019937"
"373,1020086"
"374,1020087"
"375,1020291"
"376,1020292"
"377,1020294"
"378,1020297"
"379,1020298"
"380,1020302"
"381,1020303"
"382,1020309"
"383,1020312"
"384,1020337"
"385,1020358"
"386,1020412"
"387,1020417"
"388,1020421"
"389,1020429"
"390,1020433"
"391,1020458"
"392,1020464"
"393,1020561"
"394,1020882"
"395,1020895"
"396,1020896"
"397,1020903"
"398,1020930"
"399,1020936"
"400,1021009"
"401,1021012"
"402,1021013"
"403,1021014"
"404,1021016"
"405,1021049"
"406,1021057"
"407,1021059"
"408,1021062"
"409,1021071"
"410,1021073"
"411,1021074"
"412,1021277"
"413,1021282"
"414,1021297"
"415,1021299"
"416,1021303"
"417,1021307"
"418,1021325"
"419,1021330"
"420,1021338"
"421,1021341"
"422,1021667"
"423,1021778"
"424,1021780"
"425,1021790"
"426,1021806"
"427,1021820"
"428,1021995"
"429,1022132"
"430,1022206"
"431,1022280"
"432,1022285"
"433,1022586"
"434,1022631"
"435,1022632"
"436,1022955"
"437,1022965"
"438,1022984"
"439,1023040"
"440,1023133"
"441,1023156"
"442,1023160"
"443,1023280"
"444,1023301"
"445,1023302"
"446,1023404"
"447,1023664"
"448,1023684"
"449,1023693"
"450,1023991"
"451,1024062"
"452,1024073"
"453,1024111"
"454,1024115"
"455,1024116"
"456,1024349"
"457,1024350"
"458,1024351"
"459,1024480"
"460,1024483"
"461,1024487"
"462,1024499"
"463,1024629"
"464,1024641"
"465,1024647"
"466,1024681"
"467,1024747"
"468,1024748"
"469,1024931"
"470,1024932"
"471,1024936"
"472,1025189"
"473,1025389"
"474,1025419"
"475,1025502"
"476,1025505"
"477,1025511"
"478,1025519"
"479,1025524"
"480,1025579"
"481,1025585"
"482,1025707"
"483,1025708"
"484,1025715"
"485,1025718"
"486,1025746"
"487,1025749"
"488,1025751"
"489,1025755"
"490,1025766"
"491,1025770"
"492,1026093"
"493,1026121"
"494,1026122"
"495,1026125"
"496,1026130"
"497,1026131"
"498,1026137"
"499,1026179"
"500,1026905"
"501,1026907"
"502,1026970"
"503,1027140"
"504,1027162"
"505,1027502"
"506,1027533"
"507,1028147"
"508,1028340"
"509,1028391"
"510,1028564"
"511,1028659"
"512,1028661"
"513,1028663"
"514,1028727"
"515,1028787"
"516,1028789"
"517,1028791"
"518,1028792"
"519,1028796"
"520,1028798"
"521,1028808"
"522,1028814"
"523,1028819"
"524,1028871"
"525,1029251"
"526,1029333"
"527,1029483"
"528,1029485"
"529,1029487"
"530,1029720"
"531,1029890"
"532,1030004"
"533,1030014"
"534,1030015"
"535,1030065"
"536,1030225"
"537,1030768"
"538,1030798"
"539,1030867"
"540,1030966"
"541,1031020"
"542,1031027"
"543,1031265"
"544,1031294"
"545,1031299"
"546,1031345"
"547,1031353"
"548,1031449"
"549,1031471"
"550,1031495"
"551,1031499"
"552,1031595"
"553,1031696"
"554,1031716"
"555,1031758"
"556,1031765"
"557,1031771"
"558,1031988"
"559,1032234"
"560,1032278"
"561,1032325"
"562,1032337"
"563,1032351"
"564,1032356"
"565,1032358"
"566,1032363"
"567,1032480"
"568,1032542"
"569,1032550"
"570,1032687"
"571,1033047"
"572,1033176"
"573,1033189"
"574,1033196"
"575,1033212"
"576,1033214"
"577,103357"
"578,103372"
"579,103409"
"580,103420"
"581,1034206"
"582,103424"
"583,1034290"
"584,103436"
"585,1034367"
"586,1034371"
"587,1034439"
"588,103446"
"589,1034476"
"590,1034481"
"591,103453"
"592,103459"
"593,1034644"
"594,1034645"
"595,1034661"
"596,1034684"
"597,1034690"
"598,1034692"
"599,1034721"
"600,1034736"
"601,1034824"
"602,1034830"
"603,1034834"
"604,1034860"
"605,1034861"
"606,1034890"
"607,1034893"
"608,1034896"
"609,1034923"
"610,1034925"
"611,1034926"
"612,1034929"
"613,1034930"
"614,1034971"
"615,1035111"
"616,103517"
"617,1035172"
"618,1035196"
"619,1035202"
"620,1035206"
"621,1035225"
"622,1035236"
"623,1035240"
"624,1035248"
"625,1035272"
"626,1035278"
"627,1035298"
"628,1035322"
"629,1035325"
"630,1035328"
"631,1035398"
"632,1035401"
"633,1035426"
"634,1035449"
"635,1035452"
"636,1035457"
"637,1035487"
"638,1035488"
"639,1035492"
"640,1035517"
"641,1035548"
"642,1035587"
"643,1035593"
"644,1035595"
"645,1035629"
"646,1035665"
"647,1035679"
"648,1035687"
"649,1035688"
"650,1035689"
"651,1035691"
"652,103584"
"653,1035842"
"654,1035850"
"655,1035851"
"656,1035857"
"657,1035883"
"658,1035888"
"659,1035924"
"660,1035959"
"661,1036062"
"662,1036063"
"663,103607"
"664,1036112"
"665,1036117"
"666,1036119"
"667,1036120"
"668,1036231"
"669,1036283"
"670,1036299"
"671,1036303"
"672,1036316"
"673,1036456"
"674,1036461"
"675,1036464"
"676,1036474"
"677,1036525"
"678,1036550"
"679,1036556"
"680,1036563"
"681,1036589"
"682,1036636"
"683,1036640"
"684,1036668"
"685,1036685"
"686,1036694"
"687,1036702"
"688,1036710"
"689,1036712"
"690,1036715"
"691,1036735"
"692,1036737"
"693,1036739"
"694,1036741"
"695,1036743"
"696,1036754"
"697,1036936"
"698,1037031"
"699,1037104"
"700,1037264"
"701,103737"
"702,1037543"
"703,1037547"
"704,1037652"
"705,1037655"
"706,1037656"
"707,1037657"
"708,1037658"
"709,1037660"
"710,1037662"
"711,1037666"
"712,1037677"
"713,103768"
"714,1037680"
"715,1037686"
"716,1037696"
"717,1037697"
"718,1037782"
"719,1037786"
"720,1037824"
"721,1037856"
"722,1037862"
"723,1037864"
"724,1037865"
"725,1037867"
"726,1037884"
"727,1037946"
"728,1038452"
"729,1038455"
"730,1038456"
"731,1038457"
"732,1038460"
"733,1038461"
"734,1038584"
"735,1038599"
"736,1038601"
"737,1038609"
"738,1039464"
"739,1039703"
"740,1039810"
"741,1039833"
"742,1039849"
"743,1039870"
"744,104059"
"745,104062"
"746,1040710"
"747,1040761"
"748,104082"
"749,1040842"
"750,104091"
"751,104096"
"752,1040963"
"753,104099"
"754,104100"
"755,104102"
"756,1041054"
"757,1041056"
"758,1041057"
"759,104106"
"760,1041077"
"761,1041281"
"762,1041282"
"763,1041287"
"764,104132"
"765,104137"
"766,1041449"
"767,104147"
"768,1041551"
"769,1041641"
"770,1041692"
"771,1041697"
"772,1041730"
"773,1041736"
"774,1041737"
"775,1041744"
"776,1041746"
"777,1041782"
"778,1041857"
"779,1041946"
"780,1042087"
"781,1042183"
"782,1042188"
"783,1042190"
"784,1042197"
"785,1042202"
"786,1042276"
"787,1042350"
"788,1042363"
"789,1042369"
"790,1042616"
"791,1042618"
"792,1042694"
"793,1042696"
"794,1042720"
"795,1042737"
"796,1042741"
"797,1042753"
"798,1042757"
"799,1042763"
"800,1042765"
"801,1042767"
"802,1042794"
"803,1042883"
"804,1042949"
"805,1043409"
"806,1043411"
"807,1043412"
"808,1043415"
"809,104342"
"810,1043421"
"811,1043422"
"812,1043423"
"813,1043424"
"814,1043425"
"815,1043426"
"816,1043431"
"817,1043432"
"818,1043437"
"819,1043459"
"820,1043472"
"821,1043477"
"822,1043483"
"823,1043487"
"824,1043496"
"825,104380"
"826,1044070"
"827,1044078"
"828,1044080"
"829,1044089"
"830,1044097"
"831,1044385"
"832,1044387"
"833,1044393"
"834,1044404"
"835,1044417"
"836,1044419"
"837,1044421"
"838,1044424"
"839,1044434"
"840,1044449"
"841,1044456"
"842,1044457"
"843,1044462"
"844,1044468"
"845,1044500"
"846,1044506"
"847,1044508"
"848,1044516"
"849,1044526"
"850,1045445"
"851,1045618"
"852,1045682"
"853,1045901"
"854,1046083"
"855,1046086"
"856,1046387"
"857,1046395"
"858,1046397"
"859,1046399"
"860,1046401"
"861,1046403"
"862,1046404"
"863,1046412"
"864,1046414"
"865,1046416"
"866,1046419"
"867,1046428"
"868,1046430"
"869,1046431"
"870,1046436"
"871,1046437"
"872,1046455"
"873,1046456"
"874,1046464"
"875,1046478"
"876,1046487"
"877,1046493"
"878,1046499"
"879,1046505"
"880,1046506"
"881,1046508"
"882,105579"
"883,105788"
"884,105970"
"885,106031"
"886,106585"
"887,106587"
"888,106655"
"889,106692"
"890,106707"
"891,106788"
"892,106823"
"893,106850"
"894,107254"
"895,107434"
"896,107455"
"897,107467"
"898,107474"
"899,107475"
"900,107476"
"901,107492"
"902,107506"
"903,107527"
"904,107539"
"905,107543"
"906,107544"
"907,107545"
"908,10764"
"909,107649"
"910,107757"
"911,107801"
"912,107890"
"913,107935"
"914,107975"
"915,108202"
"916,108220"
"917,108226"
"918,108232"
"919,108265"
"920,108267"
"921,108301"
"922,108333"
"923,108350"
"924,108420"
"925,108423"
"926,108424"
"927,108425"
"928,108565"
"929,108586"
"930,108625"
"931,108640"
"932,108642"
"933,108661"
"934,108714"
"935,108729"
"936,108742"
"937,108773"
"938,108778"
"939,108822"
"940,10891"
"941,11000007"
"942,11000059"
"943,11001350"
"944,11001412"
"945,1100267"
"946,1100328"
"947,1100329"
"948,11004227"
"949,11004245"
"950,11007482"
"951,11007599"
"952,11007620"
"953,11008319"
"954,11008334"
"955,11008506"
"956,11009233"
"957,11009269"
"958,11009292"
"959,11009811"
"960,11009815"
"961,11009822"
"962,11009825"
"963,11009827"
"964,11010405"
"965,11010407"
"966,11010640"
"967,11010645"
"968,11010926"
"969,110144"
"970,1101778"
"971,11021041"
"972,11021970"
"973,11021974"
"974,11021998"
"975,11022149"
"976,11022192"
"977,11022221"
"978,11022923"
"979,11023165"
"980,11023228"
"981,1102456"
"982,11024622"
"983,11024791"
"984,11025993"
"985,11027761"
"986,1105714"
"987,1106273"
"988,110841"
"989,1109419386"
"990,11133"
"991,11252"
"992,11265"
"993,113521"
"994,11374"
"995,114567"
"996,114568"
"997,114633"
"998,114668"
"999,114678"

